AN	CLUSTER	MORPH_TYPE	EXPONENT	BASE_POS	BASE_SEM
"NC:lâcheur"	5	affixed	eur	v	action
"NC:lainier"	2	affixed	ier	n	object
"NC:lampiste"	2	affixed	iste	n	object
"NC:largueur"	6	affixed	eur	v	action
"NC:laryngologiste"	2	affixed	iste	n	domain
"NC:latiniste"	3	affixed	iste	n	domain
"NC:lécheur"	5	affixed	eur	v	action
"NC:légiste"	3	affixed	iste	n	objCog
"NC:leveur"	5	affixed	eur	v	action
"NC:libérateur"	4	affixed	eur	v	action
"NC:libraire"	2	affixed	aire	n	objCog
"NC:librettiste"	3	affixed	iste	n	objCog
"NC:lieur"	2	affixed	eur	v	action
"NC:linguiste"	3	affixed	iste	n	domain
"NC:linotypiste"	2	affixed	iste	n	object
"NC:liquidateur"	1	affixed	eur	v	action
"NC:liquoriste"	2	affixed	iste	n	object
"NC:livreur"	2	affixed	eur	v	action
"NC:livreuse"	5	affixed	eur	v	action
"NC:logicien"	3	affixed	ien	n	domain
"NC:logisticien"	6	affixed	ien	n	domain
"NC:louangeur"	4	affixed	eur	v	action
"NC:loucheur"	5	affixed	eur	v	action
"NC:loueur"	2	affixed	eur	v	action
"NC:lunetier"	2	affixed	ier	n	object
"NC:luthier"	3	affixed	ier	n	object
"NC:lutteur"	6	affixed	eur	v	action
"NC:mâcheur"	5	affixed	eur	v	action
"NC:machiniste"	2	affixed	iste	n	object
"NC:magasinier"	2	affixed	ier	n	object
"NC:magasinière"	2	affixed	ier	n	object
"NC:magicien"	4	affixed	ien	n	domain
"NC:magicienne"	4	affixed	ien	n	domain
"NC:magouilleur"	4	affixed	eur	v	action
"NC:mainteneur"	6	affixed	eur	v	action
"NC:mangeur"	5	affixed	eur	v	action
"NC:manieur"	4	affixed	eur	v	action
"NC:manifestant"	1	conversion	ant	v	action
"NC:manipulateur"	4	affixed	eur	v	action
"NC:manouvrier"	2	affixed	ier	n	action
"NC:manutentionnaire"	2	affixed	aire	n	action
"NC:maquettiste"	3	affixed	iste	n	object
"NC:maquilleur"	3	affixed	eur	v	action
"NC:marathonien"	6	affixed	ien	n	action
"NC:marathonienne"	3	affixed	ien	n	action
"NC:maraudeur"	4	affixed	eur	v	action
"NC:marcheur"	6	affixed	eur	v	action
"NC:mareyeur"	2	affixed	eur	n	action
"NC:marieur"	4	affixed	eur	v	action
"NC:marinier"	2	affixed	ier	n	domain
"NC:marionnettiste"	3	affixed	iste	n	object
"NC:maroquinier"	2	affixed	ier	n	object
"NC:marteleur"	5	affixed	eur	v	action
"NC:massacreur"	4	affixed	eur	v	action
"NC:masseur"	2	affixed	eur	v	action
"NC:matelassier"	2	affixed	ier	n	object
"NC:mateur"	5	affixed	eur	v	action
"NC:mathématicien"	3	affixed	ien	n	domain
"NC:matraqueur"	5	affixed	eur	v	action
"NC:mécanicien"	6	affixed	ien	n	domain
"NC:médiéviste"	3	affixed	iste	n	domain
"NC:médisant"	4	conversion	ant	v	action
"NC:méhariste"	6	affixed	iste	n	object
"NC:mémorialiste"	3	affixed	iste	n	objCog
"NC:mendiant"	4	conversion	ant	v	action
"NC:meneur"	6	affixed	eur	v	action
"NC:menteur"	4	affixed	eur	v	action
"NC:messager"	4	affixed	ier	n	objCog
"NC:métallurgiste"	2	affixed	iste	n	domain
"NC:métaphysicien"	3	affixed	ien	n	domain
